,n_up,n_down,dimension,interaction_type,n_basis,lambda,coupling,G_up,G_dn,N,spectrum
103,3,1,1,bare,10,0.0,-2.55,0.0,0.0,13,6.827827046214627
104,3,1,1,bare,10,0.0,-2.55,0.0,0.0,14,6.878983804092325
105,3,1,1,bare,10,0.0,-2.05,0.0,0.0,0,3.2495075235353195
106,3,1,1,bare,10,0.0,-2.05,0.0,0.0,1,4.259246861588153
107,3,1,1,bare,10,0.0,-2.05,0.0,0.0,2,4.384106292352155
108,3,1,1,bare,10,0.0,-2.05,0.0,0.0,3,5.270105686012884
109,3,1,1,bare,10,0.0,-2.05,0.0,0.0,4,5.322830569847411
110,3,1,1,bare,10,0.0,-2.05,0.0,0.0,5,5.397093553954132
111,3,1,1,bare,10,0.0,-2.05,0.0,0.0,6,5.559916813079322
112,3,1,1,bare,10,0.0,-2.05,0.0,0.0,7,6.279600597756658
113,3,1,1,bare,10,0.0,-2.05,0.0,0.0,8,6.332484557421945
114,3,1,1,bare,10,0.0,-2.05,0.0,0.0,9,6.389455081852677
115,3,1,1,bare,10,0.0,-2.05,0.0,0.0,10,6.410109357197209
116,3,1,1,bare,10,0.0,-2.05,0.0,0.0,11,6.528788010119172
117,3,1,1,bare,10,0.0,-2.05,0.0,0.0,12,6.5836618135575815
118,3,1,1,bare,10,0.0,-2.05,0.0,0.0,13,7.291513481319619
119,3,1,1,bare,10,0.0,-2.05,0.0,0.0,14,7.343057949963837
120,3,1,1,bare,10,0.0,-1.55,0.0,0.0,0,3.7131341658697323
121,3,1,1,bare,10,0.0,-1.55,0.0,0.0,1,4.718900877481959
122,3,1,1,bare,10,0.0,-1.55,0.0,0.0,2,4.825513856651012
123,3,1,1,bare,10,0.0,-1.55,0.0,0.0,3,5.725363594190741
124,3,1,1,bare,10,0.0,-1.55,0.0,0.0,4,5.771971266818173
125,3,1,1,bare,10,0.0,-1.55,0.0,0.0,5,5.8330826334431185
126,3,1,1,bare,10,0.0,-1.55,0.0,0.0,6,5.979973775351929
127,3,1,1,bare,10,0.0,-1.55,0.0,0.0,7,6.730955194214555
128,3,1,1,bare,10,0.0,-1.55,0.0,0.0,8,6.778000101430193
129,3,1,1,bare,10,0.0,-1.55,0.0,0.0,9,6.820858055376482
130,3,1,1,bare,10,0.0,-1.55,0.0,0.0,10,6.840381929425745
131,3,1,1,bare,10,0.0,-1.55,0.0,0.0,11,6.939010660211643
132,3,1,1,bare,10,0.0,-1.55,0.0,0.0,12,6.99117872898897
133,3,1,1,bare,10,0.0,-1.55,0.0,0.0,13,7.738054757800546
134,3,1,1,bare,10,0.0,-1.55,0.0,0.0,14,7.784746237171037
135,3,1,1,bare,10,0.0,-1.05,0.0,0.0,0,4.15459211383343
136,3,1,1,bare,10,0.0,-1.05,0.0,0.0,1,5.157308307248039
137,3,1,1,bare,10,0.0,-1.05,0.0,0.0,2,5.239013526477076
138,3,1,1,bare,10,0.0,-1.05,0.0,0.0,3,6.160366063578918
139,3,1,1,bare,10,0.0,-1.05,0.0,0.0,4,6.196399598635308
140,3,1,1,bare,10,0.0,-1.05,0.0,0.0,5,6.2424947877660495
141,3,1,1,bare,10,0.0,-1.05,0.0,0.0,6,6.360994607893878
142,3,1,1,bare,10,0.0,-1.05,0.0,0.0,7,7.162979753171122
143,3,1,1,bare,10,0.0,-1.05,0.0,0.0,8,7.199359430152597
144,3,1,1,bare,10,0.0,-1.05,0.0,0.0,9,7.22859770329527
145,3,1,1,bare,10,0.0,-1.05,0.0,0.0,10,7.245746814711951
146,3,1,1,bare,10,0.0,-1.05,0.0,0.0,11,7.31586231778507
147,3,1,1,bare,10,0.0,-1.05,0.0,0.0,12,7.36527764537117
148,3,1,1,bare,10,0.0,-1.05,0.0,0.0,13,7.9999999999999725
149,3,1,1,bare,10,0.0,-1.05,0.0,0.0,14,8.16634816378232
150,3,1,1,bare,10,0.0,-0.55,0.0,0.0,0,4.571734078241682
151,3,1,1,bare,10,0.0,-0.55,0.0,0.0,1,5.572491414084845
152,3,1,1,bare,10,0.0,-0.55,0.0,0.0,2,5.620819599970479
153,3,1,1,bare,10,0.0,-0.55,0.0,0.0,3,6.57334758260232
154,3,1,1,bare,10,0.0,-0.55,0.0,0.0,4,6.5943354925345705
155,3,1,1,bare,10,0.0,-0.55,0.0,0.0,5,6.6217598258336965
156,3,1,1,bare,10,0.0,-0.55,0.0,0.0,6,6.694825743982065
157,3,1,1,bare,10,0.0,-0.55,0.0,0.0,7,7.5740699805075735
158,3,1,1,bare,10,0.0,-0.55,0.0,0.0,8,7.595177191100611
159,3,1,1,bare,10,0.0,-0.55,0.0,0.0,9,7.6107666519034485
160,3,1,1,bare,10,0.0,-0.55,0.0,0.0,10,7.622615758975098
161,3,1,1,bare,10,0.0,-0.55,0.0,0.0,11,7.65945182383761
162,3,1,1,bare,10,0.0,-0.55,0.0,0.0,12,7.695808104460769
163,3,1,1,bare,10,0.0,-0.55,0.0,0.0,13,8.000000000000014
164,3,1,1,bare,10,0.0,-0.55,0.0,0.0,14,8.575017648056505
165,3,1,1,bare,10,0.0,-0.05,0.0,0.0,0,4.962456803113277
166,3,1,1,bare,10,0.0,-0.05,0.0,0.0,1,5.9624630933173695
167,3,1,1,bare,10,0.0,-0.05,0.0,0.0,2,5.96739497124943
168,3,1,1,bare,10,0.0,-0.05,0.0,0.0,3,6.962470234623379
169,3,1,1,bare,10,0.0,-0.05,0.0,0.0,4,6.964533220468181
170,3,1,1,bare,10,0.0,-0.05,0.0,0.0,5,6.967402469200263
171,3,1,1,bare,10,0.0,-0.05,0.0,0.0,6,6.975048548610375
172,3,1,1,bare,10,0.0,-0.05,0.0,0.0,7,7.96247618042776
173,3,1,1,bare,10,0.0,-0.05,0.0,0.0,8,7.964540157832811
174,3,1,1,bare,10,0.0,-0.05,0.0,0.0,9,7.965983258553001
175,3,1,1,bare,10,0.0,-0.05,0.0,0.0,10,7.967409154151416
176,3,1,1,bare,10,0.0,-0.05,0.0,0.0,11,7.970612347373473
177,3,1,1,bare,10,0.0,-0.05,0.0,0.0,12,7.97505521087292
178,3,1,1,bare,10,0.0,-0.05,0.0,0.0,13,8.000000000000021
179,3,1,1,bare,10,0.0,-0.05,0.0,0.0,14,8.962484139237002
180,3,1,1,bare,10,0.0,0.45,0.0,0.0,0,5.324857033928722
181,3,1,1,bare,10,0.0,0.45,0.0,0.0,1,6.2760396908606415
182,3,1,1,bare,10,0.0,0.45,0.0,0.0,2,6.325362824758614
183,3,1,1,bare,10,0.0,0.45,0.0,0.0,3,7.199857405133759
184,3,1,1,bare,10,0.0,0.45,0.0,0.0,4,7.276612987167818
185,3,1,1,bare,10,0.0,0.45,0.0,0.0,5,7.306458135526461
186,3,1,1,bare,10,0.0,0.45,0.0,0.0,6,7.325939698197503
187,3,1,1,bare,10,0.0,0.45,0.0,0.0,7,8.000000000000004
188,3,1,1,bare,10,0.0,0.45,0.0,0.0,8,8.200286751943523
189,3,1,1,bare,10,0.0,0.45,0.0,0.0,9,8.250879199223819
190,3,1,1,bare,10,0.0,0.45,0.0,0.0,10,8.277115841123079
191,3,1,1,bare,10,0.0,0.45,0.0,0.0,11,8.293982720043186
192,3,1,1,bare,10,0.0,0.45,0.0,0.0,12,8.30699681866791
193,3,1,1,bare,10,0.0,0.45,0.0,0.0,13,8.326413616066484
194,3,1,1,bare,10,0.0,0.45,0.0,0.0,14,9.0
195,3,1,1,bare,10,0.0,0.95,0.0,0.0,0,5.657429002282351
196,3,1,1,bare,10,0.0,0.95,0.0,0.0,1,6.545538820205669
197,3,1,1,bare,10,0.0,0.95,0.0,0.0,2,6.659636945046735
198,3,1,1,bare,10,0.0,0.95,0.0,0.0,3,7.373513859720722
199,3,1,1,bare,10,0.0,0.95,0.0,0.0,4,7.547895607824363
200,3,1,1,bare,10,0.0,0.95,0.0,0.0,5,7.620361057759672
201,3,1,1,bare,10,0.0,0.95,0.0,0.0,6,7.662168460887475
202,3,1,1,bare,10,0.0,0.95,0.0,0.0,7,7.9999999999999885
203,3,1,1,bare,10,0.0,0.95,0.0,0.0,8,8.374995327955018
204,3,1,1,bare,10,0.0,0.95,0.0,0.0,9,8.501912926687213
205,3,1,1,bare,10,0.0,0.95,0.0,0.0,10,8.549938607896413
206,3,1,1,bare,10,0.0,0.95,0.0,0.0,11,8.595940932404803
207,3,1,1,bare,10,0.0,0.95,0.0,0.0,12,8.622583403061915
208,3,1,1,bare,10,0.0,0.95,0.0,0.0,13,8.664220640848974
209,3,1,1,bare,10,0.0,0.95,0.0,0.0,14,8.999999999999952
210,3,1,1,bare,10,0.0,1.45,0.0,0.0,0,5.95927503200414
211,3,1,1,bare,10,0.0,1.45,0.0,0.0,1,6.776596251572613
212,3,1,1,bare,10,0.0,1.45,0.0,0.0,2,6.96424206513602
213,3,1,1,bare,10,0.0,1.45,0.0,0.0,3,7.504729021472907
214,3,1,1,bare,10,0.0,1.45,0.0,0.0,4,7.781549392404941
215,3,1,1,bare,10,0.0,1.45,0.0,0.0,5,7.907190212551096
216,3,1,1,bare,10,0.0,1.45,0.0,0.0,6,7.969972126503934
217,3,1,1,bare,10,0.0,1.45,0.0,0.0,7,7.999999999999988
218,3,1,1,bare,10,0.0,1.45,0.0,0.0,8,8.507364981172293
219,3,1,1,bare,10,0.0,1.45,0.0,0.0,9,8.724852910299235
220,3,1,1,bare,10,0.0,1.45,0.0,0.0,10,8.785812709004244
221,3,1,1,bare,10,0.0,1.45,0.0,0.0,11,8.874132571632769
222,3,1,1,bare,10,0.0,1.45,0.0,0.0,12,8.911860688925007
223,3,1,1,bare,10,0.0,1.45,0.0,0.0,13,8.974555904086504
224,3,1,1,bare,10,0.0,1.45,0.0,0.0,14,8.999999999999993
225,3,1,1,bare,10,0.0,1.95,0.0,0.0,0,6.23027949349577
226,3,1,1,bare,10,0.0,1.95,0.0,0.0,1,6.971801943108777
227,3,1,1,bare,10,0.0,1.95,0.0,0.0,2,7.2388297123816
228,3,1,1,bare,10,0.0,1.95,0.0,0.0,3,7.603400086798627
229,3,1,1,bare,10,0.0,1.95,0.0,0.0,4,7.979731036527115
230,3,1,1,bare,10,0.0,1.95,0.0,0.0,5,7.999999999999993
231,3,1,1,bare,10,0.0,1.95,0.0,0.0,6,8.168351923028686
232,3,1,1,bare,10,0.0,1.95,0.0,0.0,7,8.24876402361034
233,3,1,1,bare,10,0.0,1.95,0.0,0.0,8,8.607043733257372
234,3,1,1,bare,10,0.0,1.95,0.0,0.0,9,8.920453241851922
235,3,1,1,bare,10,0.0,1.95,0.0,0.0,10,8.986539483920243
236,3,1,1,bare,10,0.0,1.95,0.0,0.0,11,9.000000000000018
237,3,1,1,bare,10,0.0,1.95,0.0,0.0,12,9.13094815945175
238,3,1,1,bare,10,0.0,1.95,0.0,0.0,13,9.175873644563596
239,3,1,1,bare,10,0.0,1.95,0.0,0.0,14,9.256605890713155
240,3,1,1,bare,10,0.0,2.45,0.0,0.0,0,6.471189785554586
241,3,1,1,bare,10,0.0,2.45,0.0,0.0,1,7.135120280386224
242,3,1,1,bare,10,0.0,2.45,0.0,0.0,2,7.483858735170628
243,3,1,1,bare,10,0.0,2.45,0.0,0.0,3,7.678205598068869
244,3,1,1,bare,10,0.0,2.45,0.0,0.0,4,8.000000000000002
245,3,1,1,bare,10,0.0,2.45,0.0,0.0,5,8.14604288753472
246,3,1,1,bare,10,0.0,2.45,0.0,0.0,6,8.405419879622675
247,3,1,1,bare,10,0.0,2.45,0.0,0.0,7,8.498697740848819
248,3,1,1,bare,10,0.0,2.45,0.0,0.0,8,8.682648173786216
249,3,1,1,bare,10,0.0,2.45,0.0,0.0,9,9.00000000000002
250,3,1,1,bare,10,0.0,2.45,0.0,0.0,10,9.089808201138617
